seed,parameter_name,parameter_value,matrix_name,frob_norm
4,K,100,U,2.388893920728005
4,K,100,Uf_0,2.427099787854916
4,K,100,Uf_1,2.3726546477311876
5,K,10,U,2.4209025602005774
5,K,10,Uf_0,2.4098643518097673
5,K,10,Uf_1,2.4301043080162086
5,K,20,U,2.4214451790903078
5,K,20,Uf_0,2.4327717341247297
5,K,20,Uf_1,2.424996699613206
5,K,30,U,2.4188157475201097
5,K,30,Uf_0,2.408993746417273
5,K,30,Uf_1,2.42018575374825
5,K,40,U,2.4081206449215458
5,K,40,Uf_0,2.410370931733794
5,K,40,Uf_1,2.4289339093686033
5,K,50,U,2.412463670099366
5,K,50,Uf_0,2.4242856028329878
5,K,50,Uf_1,2.422164567813474
5,K,60,U,2.3937893788364892
5,K,60,Uf_0,2.428454650601147
5,K,60,Uf_1,2.4164314493033006
5,K,70,U,2.408431415579424
5,K,70,Uf_0,2.4342371631283934
5,K,70,Uf_1,2.431439090175397
5,K,80,U,2.407567078668988
5,K,80,Uf_0,2.441358379397184
5,K,80,Uf_1,2.397694595250973
5,K,90,U,2.4104419217615765
5,K,90,Uf_0,2.435509425077794
5,K,90,Uf_1,2.368391097876726
5,K,100,U,2.3927670567867603
5,K,100,Uf_0,2.4386795744390515
5,K,100,Uf_1,2.347700329458055
6,K,10,U,2.4288865675396547
6,K,10,Uf_0,2.4374623483405085
6,K,10,Uf_1,2.443395755270201
6,K,20,U,2.4317096317383173
6,K,20,Uf_0,2.428720875397653
6,K,20,Uf_1,2.4322939117557287
6,K,30,U,2.4373351813636024
6,K,30,Uf_0,2.4326247994121837
6,K,30,Uf_1,2.4413827013351614
6,K,40,U,2.4128159374161173
6,K,40,Uf_0,2.4326602755228226
6,K,40,Uf_1,2.4138675537388785
6,K,50,U,2.3935732894033923
6,K,50,Uf_0,2.4405758024643935
6,K,50,Uf_1,2.431721614643759
6,K,60,U,2.411445045496441
6,K,60,Uf_0,2.417935288343551
6,K,60,Uf_1,2.42617023217857
6,K,70,U,2.4041505834605355
6,K,70,Uf_0,2.435329047562962
6,K,70,Uf_1,2.436398234726818
6,K,80,U,2.399251818574025
6,K,80,Uf_0,2.4376875079494824
6,K,80,Uf_1,2.4116291029147305
6,K,90,U,2.3845594351129753
6,K,90,Uf_0,2.4460459138464596
6,K,90,Uf_1,2.4298560191765626
6,K,100,U,2.3566729667309962
6,K,100,Uf_0,2.429531188131341
6,K,100,Uf_1,2.4161129377338533
7,K,10,U,2.437567582709598
7,K,10,Uf_0,2.4284793257066863
7,K,10,Uf_1,2.3980922108154212
7,K,20,U,2.4293319984932675
7,K,20,Uf_0,2.4246793952781522
7,K,20,Uf_1,2.419227204106195
7,K,30,U,2.4329394640610364
7,K,30,Uf_0,2.434006602263961
7,K,30,Uf_1,2.4361308533521844
7,K,40,U,2.4326899631253274
7,K,40,Uf_0,2.440228952846384
7,K,40,Uf_1,2.433167569775711
7,K,50,U,2.4158457481652458
7,K,50,Uf_0,2.441749090576185
7,K,50,Uf_1,2.3821499933335333
7,K,60,U,2.428778404925658
7,K,60,Uf_0,2.4403746538559807
7,K,60,Uf_1,2.390119634117999
7,K,70,U,2.430897365955399
7,K,70,Uf_0,2.4350256580511425
7,K,70,Uf_1,2.4022241179109725
7,K,80,U,2.4351896283331635
7,K,80,Uf_0,2.4374582716404243
7,K,80,Uf_1,2.436935291891162
7,K,90,U,2.432508317273034
7,K,90,Uf_0,2.4389378827775063
7,K,90,Uf_1,2.439408062068266
7,K,100,U,2.4116106646810826
7,K,100,Uf_0,2.4366350723360237
7,K,100,Uf_1,2.4158251053798785
