seed,parameter_name,parameter_value,matrix_name,frob_norm
4,K,30,U,0.47212528998213504
4,K,30,Uf_0,0.8115170497158588
4,K,30,Uf_1,0.5000453880578173
4,K,40,U,0.38014429357947016
4,K,40,Uf_0,0.6599060473609005
4,K,40,Uf_1,0.3788855523938748
4,K,50,U,0.35470578151525767
4,K,50,Uf_0,0.6737256383186688
4,K,50,Uf_1,0.3494594531391184
4,K,60,U,0.40831907161676706
4,K,60,Uf_0,0.6517991464298785
4,K,60,Uf_1,0.4235388684058134
4,K,70,U,0.3250891613538416
4,K,70,Uf_0,0.6467313617827737
4,K,70,Uf_1,0.3307105209117459
4,K,80,U,0.2952916644916722
4,K,80,Uf_0,0.5841098231703831
4,K,80,Uf_1,0.31089655829894386
4,K,90,U,0.2852653257970139
4,K,90,Uf_0,0.47503082058338814
4,K,90,Uf_1,0.3068766438398138
4,K,100,U,0.2415780174412808
4,K,100,Uf_0,0.40999109128639444
4,K,100,Uf_1,0.26654089697160294
5,K,10,U,1.4909951832490689
5,K,10,Uf_0,1.7027162030064924
5,K,10,Uf_1,1.9640905532272435
5,K,20,U,0.5671887571664391
5,K,20,Uf_0,0.9063276834733032
5,K,20,Uf_1,0.6325704447146813
5,K,30,U,0.47211908275486736
5,K,30,Uf_0,0.8115235796411945
5,K,30,Uf_1,0.5000471325354179
5,K,40,U,0.38014041805609716
5,K,40,Uf_0,0.65840030310726
5,K,40,Uf_1,0.37888696938873934
5,K,50,U,0.35470169101650517
5,K,50,Uf_0,0.6737225856314594
5,K,50,Uf_1,0.34946188692206853
5,K,60,U,0.41419141737982434
5,K,60,Uf_0,0.6518173362788382
5,K,60,Uf_1,0.42921659878970514
5,K,70,U,0.3252165044465611
5,K,70,Uf_0,0.6467322153725795
5,K,70,Uf_1,0.3309003392370951
5,K,80,U,0.2953237413319146
5,K,80,Uf_0,0.5841293536450389
5,K,80,Uf_1,0.3109153846371805
5,K,90,U,0.2858337549633857
5,K,90,Uf_0,0.4749806024923759
5,K,90,Uf_1,0.3074385976750434
5,K,100,U,0.241590005790258
5,K,100,Uf_0,0.4099844626022312
5,K,100,Uf_1,0.2665728990985467
6,K,10,U,1.490968399653771
6,K,10,Uf_0,1.702714771614222
6,K,10,Uf_1,1.9640381577982644
6,K,20,U,0.5671909825660113
6,K,20,Uf_0,0.906330545325782
6,K,20,Uf_1,0.632561807324857
6,K,30,U,0.47212182102127936
6,K,30,Uf_0,0.8115143238050947
6,K,30,Uf_1,0.5000435883500273
6,K,40,U,0.3801459572476897
6,K,40,Uf_0,0.658398593362107
6,K,40,Uf_1,0.3788885511065349
6,K,50,U,0.3547102927253107
6,K,50,Uf_0,0.6737743016237591
6,K,50,Uf_1,0.34941185439199385
6,K,60,U,0.414197569587888
6,K,60,Uf_0,0.6518230894146916
