seed,parameter_name,parameter_value,matrix_name,frob_norm
6,K,50,Uf_1,2.4317233168111834
6,K,60,U,2.4114388209516546
6,K,60,Uf_0,2.4179535228360427
6,K,60,Uf_1,2.4261594506798745
6,K,70,U,2.403546132438
6,K,70,Uf_0,2.4353787683721073
6,K,70,Uf_1,2.432262994743354
6,K,80,U,2.3992559945861247
6,K,80,Uf_0,2.4376839304243547
6,K,80,Uf_1,2.4116282913821525
6,K,90,U,2.384326236933536
6,K,90,Uf_0,2.445962823078898
6,K,90,Uf_1,2.430195185916149
6,K,100,U,2.3567291791506206
6,K,100,Uf_0,2.429577749236712
6,K,100,Uf_1,2.416174900805581
7,K,10,U,2.4375630816449676
7,K,10,Uf_0,2.4284696721828563
7,K,10,Uf_1,2.3980985449446988
7,K,20,U,2.429328233378389
7,K,20,Uf_0,2.4246772036532005
7,K,20,Uf_1,2.419223640585579
7,K,30,U,2.4329541950914852
7,K,30,Uf_0,2.4340122732822045
7,K,30,Uf_1,2.4361281958857153
7,K,40,U,2.4327953685483927
7,K,40,Uf_0,2.4405723458310744
7,K,40,Uf_1,2.432529275190828
7,K,50,U,2.415691128812474
7,K,50,Uf_0,2.441790007218936
7,K,50,Uf_1,2.380347403794381
7,K,60,U,2.4290049431788523
7,K,60,Uf_0,2.4416343403149843
7,K,60,Uf_1,2.4005163263289053
7,K,70,U,2.4311564067611697
7,K,70,Uf_0,2.4351400431570194
7,K,70,Uf_1,2.3980593986658976
7,K,80,U,2.4372834406981125
7,K,80,Uf_0,2.4378594665836433
7,K,80,Uf_1,2.4331543965913722
7,K,90,U,2.4315010620462463
7,K,90,Uf_0,2.4389019545356208
7,K,90,Uf_1,2.4430757353540518
7,K,100,U,2.4093686818706175
7,K,100,Uf_0,2.436664561662624
7,K,100,Uf_1,2.411823353003425
